id,date,price,bedrooms,sqft_lot,standard
6762700020,2014-10-13,7700000.0,6,2564.1228,High
9808700762,2014-06-11,7062500.0,5,3467.604475,High
9208900037,2014-09-19,6885000.0,6,2914.738722,High
2470100110,2014-08-04,5570000.0,5,3258.015307,High
8907500070,2015-04-13,5350000.0,5,2228.278455,High
7558700030,2015-04-13,5300000.0,6,2306.688587,High
1247600105,2014-10-20,5110800.0,5,4228.665851,High
1924059029,2014-06-17,4668000.0,5,1214.056404,High
7738500731,2014-08-15,4500000.0,5,3717.420642,High
3835500195,2014-06-18,4489000.0,4,2556.411851,High
6065300370,2015-05-06,4208000.0,5,2001.13062,High
6447300265,2014-10-14,4000000.0,4,1539.681419,High
8106100105,2014-11-14,3850000.0,4,1978.8339,High
2303900100,2014-09-11,3800000.0,3,3251.605,High
853200010,2014-07-01,3800000.0,5,3979.96452,High
7397300170,2014-05-30,3710000.0,4,2608.530434,High
4217402115,2015-04-21,3650000.0,6,1802.411103,High
4389201095,2015-05-11,3650000.0,5,807.698682,High
2425049063,2014-09-11,3640900.0,4,2067.742071,High
3625049042,2014-10-11,3635000.0,5,1848.490991,High
4114601570,2014-11-18,3600000.0,3,1154.877193,High
9253900271,2015-01-07,3567000.0,5,983.285352,High
2525049148,2014-10-07,3418800.0,5,1896.336036,High
9362000040,2014-06-23,3400000.0,3,1656.088878,High
1118000320,2015-05-08,3400000.0,4,1093.003795,High
3126059023,2015-03-03,3395000.0,4,4447.26661,High
9808100150,2015-04-02,3345000.0,5,1426.99008,High
3625059152,2014-12-30,3300000.0,3,3836.8939,High
1346300150,2014-10-20,3300000.0,8,1091.61025,High
3625059043,2014-09-04,3300000.0,5,1288.843319,High
6072800246,2014-07-02,3300000.0,5,2019.525414,High
7524900003,2014-12-10,3278000.0,2,929.03,High
251500080,2014-08-26,3204000.0,4,1751.314453,High
1068000375,2014-09-23,3200000.0,6,1690.8346,High
624069108,2014-08-12,3200000.0,4,2620.422018,High
8964800890,2015-01-09,3200000.0,3,1241.462789,High
7159200005,2014-05-07,3200000.0,7,822.748968,High
3025059124,2014-08-28,3168750.0,5,1112.885037,High
333100295,2014-11-24,3120000.0,3,5259.145927,High
2424049029,2014-05-29,3100000.0,6,1456.904846,High
4131900066,2014-08-25,3100000.0,3,1215.635755,High
3025059093,2014-07-29,3100000.0,5,2198.921107,High
3225069065,2014-06-24,3075000.0,4,1731.804823,High
3760500116,2014-11-20,3070000.0,3,5190.211901,High
1732800780,2015-02-12,3065000.0,5,696.7725,High
1118000340,2015-04-08,3000000.0,5,1046.552295,High
3761100045,2014-06-18,3000000.0,4,1156.177835,High
518500480,2014-08-11,3000000.0,3,999.264668,High
8964800330,2015-04-07,3000000.0,4,1377.101169,High
9808100100,2015-02-02,3000000.0,5,1309.096173,High
1925059254,2015-05-07,2998000.0,5,1531.134343,High
3303850390,2014-12-12,2983000.0,5,1755.680894,High
1370800515,2014-10-30,2950000.0,4,546.641252,High
3625049014,2014-08-29,2950000.0,4,2218.988155,High
2524049166,2014-09-18,2950000.0,5,4411.03444,High
6613000930,2014-09-02,2950000.0,4,2366.23941,High
1176001310,2015-03-04,2945000.0,5,531.590966,High
5317100750,2014-07-11,2920000.0,4,2237.568755,High
2624049091,2015-03-13,2903000.0,5,8517.439943,High
7960900060,2015-05-04,2900000.0,4,1867.3503,High
6447300365,2014-11-13,2900000.0,5,1356.3838,High
7159200040,2014-09-17,2900000.0,4,449.464714,High
1118000301,2014-12-19,2890000.0,4,666.393219,High
2303900035,2014-06-11,2888000.0,5,5948.857799,High
5316101075,2014-09-26,2885000.0,7,1337.8032,High
2303900090,2014-07-29,2880500.0,4,2975.961799,High
6065300840,2015-05-01,2850000.0,4,1598.674824,High
1069000070,2015-04-15,2795000.0,5,1188.508079,High
7397300220,2014-05-29,2750000.0,4,1950.963,High
3859900060,2015-01-12,2750000.0,5,1492.486695,High
624069035,2014-12-09,2750000.0,4,517.934225,High
5249800010,2014-12-03,2725000.0,4,4072.681714,High
2525049086,2014-10-03,2720000.0,4,1682.937845,High
8043700300,2014-06-08,2700000.0,4,729.28855,High
625059036,2014-08-13,2700000.0,5,2535.787385,High
5442300807,2014-06-24,2700000.0,5,1282.0614,High
2524069078,2015-01-22,2700000.0,4,8328.846853,High
856000195,2014-05-21,2700000.0,5,780.478103,High
2525049263,2014-07-09,2680000.0,5,1899.401835,High
3126059027,2015-03-18,2650000.0,4,1275.55819,High
8084900160,2015-02-12,2641100.0,5,1505.0286,High
2397101606,2014-12-08,2630000.0,6,668.9016,High
2923500230,2014-12-16,2600000.0,4,1132.952085,High
3623500408,2015-03-30,2600000.0,3,1487.841545,High
7768700300,2014-12-05,2575000.0,4,1431.449424,High
2260300060,2015-04-10,2575000.0,5,1898.93732,High
